time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-31T19:14:03.800Z,19.1711,-64.791,42,3.39,md,6,338,1.4757,0.22,pr,pr2018212039,2018-07-31T23:14:33.399Z,"85km NNW of Road Town, British Virgin Islands",earthquake,3.1,14.78,0.05,6,reviewed,pr,pr
2018-07-31T18:44:34.900Z,34.0592,-97.3801,5.097,2.9,ml,,61,,0.65,us,us2000gigp,2018-07-31T21:33:32.069Z,"12km SSE of Wilson, Oklahoma",earthquake,1.6,5.5,,,reviewed,tul,tul
2018-07-31T18:07:21.100Z,19.4103336,-155.2851715,-0.11,2.84,ml,16,92,0.00736,0.14,hv,hv70503862,2018-08-01T02:09:55.778Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.2,0.19,5,automatic,hv,hv
2018-07-31T17:59:45.990Z,19.4115,-155.2846667,0.79,5.3,mw,31,28,0.006153,0.07,hv,hv70503837,2018-07-31T21:51:32.120Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.16,0.12,,9,reviewed,hv,hv
2018-07-31T17:55:45.530Z,19.4120007,-155.2828369,2.1,3.56,ml,55,20,0.005756,0.28,hv,hv70503827,2018-07-31T20:48:35.489Z,"5km WSW of Volcano, Hawaii",earthquake,0.33,0.23,3.27,37,automatic,hv,hv
2018-07-31T17:55:08.050Z,19.4048328,-155.264328,0.94,3.34,ml,24,60,0.006751,0.17,hv,hv70503822,2018-07-31T18:00:47.740Z,"4km SW of Volcano, Hawaii",earthquake,0.2,0.16,3.39,36,automatic,hv,hv
2018-07-31T17:53:59.140Z,19.4208336,-155.2581635,0.81,2.67,ml,18,138,0.003416,0.12,hv,hv70503817,2018-07-31T17:59:38.800Z,"2km WSW of Volcano, Hawaii",earthquake,0.23,0.26,0.45,9,automatic,hv,hv
2018-07-31T17:53:49.060Z,19.4190006,-155.2496643,-0.45,2.58,ml,12,181,0.01137,0.24,hv,hv70503812,2018-07-31T17:59:29.750Z,"1km SW of Volcano, Hawaii",earthquake,0.32,0.42,0.44,16,automatic,hv,hv
2018-07-31T17:45:17.530Z,19.4139996,-155.2583313,0.93,2.66,ml,15,100,0.002398,0.16,hv,hv70503787,2018-07-31T20:12:35.140Z,"2km SW of Volcano, Hawaii",earthquake,0.29,0.28,0.5,11,automatic,hv,hv
2018-07-31T17:45:00.570Z,19.3980007,-155.2920074,0.97,2.66,ml,20,60,0.008174,0.23,hv,hv70503777,2018-07-31T17:50:41.390Z,"6km WSW of Volcano, Hawaii",earthquake,0.31,0.33,0.47,19,automatic,hv,hv
2018-07-31T17:41:33.740Z,19.4006672,-155.274826,1.32,2.84,ml,28,45,0.005388,0.17,hv,hv70503762,2018-07-31T20:20:28.223Z,"5km SW of Volcano, Hawaii",earthquake,0.2,0.23,0.38,20,automatic,hv,hv
2018-07-31T17:40:54.800Z,19.4106674,-155.2591705,2.36,2.73,ml,8,118,0.01395,0.13,hv,hv70503757,2018-07-31T20:22:26.528Z,"3km SW of Volcano, Hawaii",earthquake,0.89,0.47,0.42,16,automatic,hv,hv
2018-07-31T17:22:46.040Z,19.430666,-155.2576599,0.89,2.51,ml,9,150,0.008196,0.11,hv,hv70503712,2018-07-31T17:28:26.290Z,"2km W of Volcano, Hawaii",earthquake,0.32,0.45,2.11,10,automatic,hv,hv
2018-07-31T17:21:27.050Z,19.3994999,-155.272995,1.32,2.68,ml,39,51,0.004156,0.22,hv,hv70503707,2018-07-31T20:40:26.584Z,"5km SW of Volcano, Hawaii",earthquake,0.25,0.2,0.38,22,automatic,hv,hv
2018-07-31T17:21:09.000Z,19.3991661,-155.2473297,5.17,2.8,ml,7,321,0.01748,0.11,hv,hv70503702,2018-07-31T17:26:49.750Z,"3km SSW of Volcano, Hawaii",earthquake,1.4,2.71,0.44,20,automatic,hv,hv
2018-07-31T17:13:59.150Z,19.413166,-155.2646637,0.48,2.5,ml,19,65,0.004644,0.27,hv,hv70503677,2018-07-31T17:19:38.960Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.28,0.32,10,automatic,hv,hv
2018-07-31T17:11:18.670Z,19.4171658,-155.2684937,0.24,3.04,ml,25,53,0.009216,0.26,hv,hv70503672,2018-07-31T17:16:58.330Z,"3km WSW of Volcano, Hawaii",earthquake,0.21,0.21,2.99,29,automatic,hv,hv
2018-07-31T17:09:37.710Z,19.3969994,-155.276001,1.37,2.81,ml,43,40,0.002755,0.27,hv,hv70503662,2018-07-31T17:15:18.470Z,"5km SW of Volcano, Hawaii",earthquake,0.31,0.22,2.89,31,automatic,hv,hv
2018-07-31T17:09:25.000Z,19.3994999,-155.276001,0.88,2.81,ml,10,245,0.01962,0.13,hv,hv70503657,2018-07-31T17:15:03.620Z,"5km SW of Volcano, Hawaii",earthquake,0.72,0.25,2.89,31,automatic,hv,hv
2018-07-31T17:07:17.180Z,19.4176674,-155.2494965,1.44,2.86,ml,7,270,0.01126,0.14,hv,hv70503652,2018-07-31T17:12:59.460Z,"1km SW of Volcano, Hawaii",earthquake,0.82,0.43,0.44,15,automatic,hv,hv
2018-07-31T17:06:03.170Z,19.3964996,-155.2733307,1.2,3.41,ml,30,45,0.007104,0.17,hv,hv70503647,2018-07-31T17:11:44.790Z,"5km SW of Volcano, Hawaii",earthquake,0.21,0.22,0.36,16,automatic,hv,hv
2018-07-31T17:04:29.890Z,19.3973331,-155.2623291,-0.08,3.27,ml,52,36,0.00361,0.25,hv,hv70503642,2018-07-31T20:08:21.040Z,"4km SW of Volcano, Hawaii",earthquake,0.19,0.16,3.4,36,automatic,hv,hv
2018-07-31T17:03:01.780Z,19.3959999,-155.2858276,0.35,2.5,ml,27,37,0.009748,0.25,hv,hv70503637,2018-07-31T17:08:42.030Z,"6km SW of Volcano, Hawaii",earthquake,0.22,0.25,0.27,17,automatic,hv,hv
2018-07-31T17:00:07.960Z,19.3968334,-155.2836609,0.15,2.86,ml,25,30,0.01041,0.21,hv,hv70503627,2018-07-31T17:05:52.610Z,"6km SW of Volcano, Hawaii",earthquake,0.2,0.28,2.23,19,automatic,hv,hv
2018-07-31T16:59:28.520Z,19.3929996,-155.2796631,-0.8,2.86,ml,17,80,0.006152,0.33,hv,hv70503622,2018-07-31T17:05:10.140Z,"6km SW of Volcano, Hawaii",earthquake,0.23,0.26,0.42,18,automatic,hv,hv
2018-07-31T16:54:50.220Z,19.3934994,-155.2726593,0.38,2.7,ml,19,56,0.002078,0.2,hv,hv70503602,2018-07-31T17:00:31.670Z,"5km SW of Volcano, Hawaii",earthquake,0.35,0.18,0.21,7,automatic,hv,hv
2018-07-31T16:52:01.310Z,19.4064999,-155.276001,1.8,2.45,ml,9,227,0.01348,0.22,hv,hv70503592,2018-07-31T16:58:00.950Z,"4km SW of Volcano, Hawaii",earthquake,1.03,0.34,0.34,15,automatic,hv,hv
2018-07-31T16:49:09.770Z,19.4078331,-155.25,-1.09,2.76,ml,8,170,0.01024,0.07,hv,hv70503577,2018-07-31T16:54:49.390Z,"2km SSW of Volcano, Hawaii",earthquake,0.2,0.47,0.45,12,automatic,hv,hv
2018-07-31T16:48:34.050Z,19.4076672,-155.2923279,0.76,2.53,ml,37,32,0.00732,0.34,hv,hv70503572,2018-07-31T16:54:14.670Z,"6km WSW of Volcano, Hawaii",earthquake,0.34,0.22,0.39,20,automatic,hv,hv
2018-07-31T16:46:01.170Z,19.3976669,-155.279007,0.24,2.85,ml,35,40,0.005556,0.22,hv,hv70503567,2018-07-31T16:51:43.210Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.19,0.41,20,automatic,hv,hv
2018-07-31T16:44:27.450Z,19.3951664,-155.2619934,0.08,3.21,ml,30,36,0.004888,0.3,hv,hv70503562,2018-07-31T16:50:09.450Z,"4km SSW of Volcano, Hawaii",earthquake,0.22,0.25,0.32,13,automatic,hv,hv
